,favorite_count,id,retweet_count
0,38737,892420643555336193,8573
1,33193,892177421306343426,6301
2,24997,891815181378084864,4185
3,42137,891689557279858688,8700
4,40278,891327558926688256,9461
5,20191,891087950875897856,3135
6,11834,890971913173991426,2087
7,65430,890729181411237888,19010
8,27751,890609185150312448,4289
9,31903,890240255349198849,7458
10,30616,890006608113172480,7378
11,27751,889880896479866881,5000
12,48062,889665388333682689,10118
13,27136,889638837579907072,4572
14,15078,889531135344209921,2248
15,25273,889278841981685760,5462
16,29041,888917238123831296,4523
17,25561,888804989199671297,4371
18,19873,888554962724278272,3603
19,21725,888078434458587136,3512
20,30144,887705289381826560,5423
21,46179,887517139158093824,11733
22,69034,887473957103951883,18342
23,33650,887343217045368832,10468
24,30496,887101392804085760,5993
25,35096,886983233522544640,7820
26,12051,886736880519319552,3312
27,22394,886680336477933568,4496
28,21162,886366144734445568,3216
29,116,886267009285017600,4
30,27944,886258384151887873,6326
31,0,886054160059072513,104
32,32673,885984800019947520,6848
33,35948,885528943205470208,6474
34,20401,885518971528720385,3779
35,0,885311592912609280,18676
36,21918,885167619883638784,4409
37,77470,884925521741709313,18559
38,27906,884876753390489601,5822
39,24272,884562892145688576,4898
40,26952,884441805382717440,5682
41,72945,884247878851493888,20569
42,20344,884162670584377345,3004
43,21872,883838122936631299,3468
44,45909,883482846933004288,10026
45,22537,883360690899218434,3705
46,37179,883117836046086144,6716
47,23927,882992080364220416,3949
48,28271,882762694511734784,4951
49,27872,882627270321602560,6138
50,44937,882268110199369728,11689
51,29323,882045870035918850,5017
52,24263,881906580714921986,3417
53,50517,881666595344535552,10754
54,128,881633300179243008,7
55,49404,881536004380872706,16096
56,23047,881268444196462592,5193
57,16987,880935762899988482,2795
58,21288,880872448815771648,3848
59,28502,880465832366813184,6335
60,27052,880221127280381952,4266
61,27600,880095782870896641,4390
62,22278,879862464715927552,3520
63,311,879674319642796034,10
64,23388,879492040517615616,3207
65,105834,879415818425184262,44580
66,16760,879376492567855104,3142
67,0,879130579576475649,6902
68,22576,879050749262655488,4753
69,18950,879008229531029506,2717
70,19381,878776093423087618,4168
71,30259,878604707211726852,7298
72,0,878404777348136964,1308
73,0,878316110768087041,6708
74,7749,878281511006478336,1308
75,42020,878057613040115712,6902
76,79914,877736472329191424,19335
77,0,877611172832227328,81
78,22740,877556246731214848,3858
79,27349,877316821321428993,5223
80,27130,877201837425926144,5649
81,20657,876838120628539392,3392
82,23451,876537666061221889,4654
83,18761,876484053909872640,2427
84,27917,876120275196170240,4738
85,25208,875747767867523072,4347
86,21923,875144289856114688,4981
87,27431,875097192612077568,6106
88,25506,875021211251597312,4769
89,27876,874680097055178752,4699
90,0,874434818259525634,14931
91,26093,874296783580663808,4164
92,22679,874057562936811520,4000
93,34736,874012996292530176,10596
94,24297,873580283840344065,3997
95,0,873337748698140672,1607
96,7268,873213775632977920,1607
97,27444,872967104147763200,5476
98,14755,872820683541237760,3739
99,0,872668790621863937,28
100,20837,872620804844003328,3762
101,40830,872486979161796608,9132
102,34359,872261713294495745,6428
103,34598,872122724285648897,8246
104,38225,871879754684805121,11397
105,20341,871762521631449091,3529
106,20311,871515927908634625,3511
107,0,871166179821445120,5791
108,21036,871102520638267392,5590
109,22786,871032628920680449,3872
110,33839,870804317367881728,6338
111,120,870726314365509632,3
